ra dec u g r i z
10.0792309539588 1.05410629864829 19.80557 19.07243 18.96318 18.63261 18.71358
9.67946480065007 0.581059933100146 17.74734 16.4498 15.85848 15.52075 15.25987
10.0466962469296 0.905013010598113 21.47542 18.93695 17.48529 16.48045 15.94561
9.67805190789801 0.978063092604916 19.82045 18.17598 17.27152 16.82992 16.47521
10.001526644975 0.989081016611435 20.94188 18.52371 17.45651 17.02363 16.76776
10.0777061349142 0.725711701258196 21.85427 19.24766 17.7151 16.26826 15.51393
10.0772202726764 0.829207848690895 19.54776 17.85468 16.861 16.33377 15.94939
9.55662739034665 0.958844560944162 25.03044 22.24144 20.88052 20.55752 20.3038
9.65711148520987 0.765812061927368 18.87257 17.90546 17.59327 17.37518 17.22455
9.98136962315039 0.881575910843513 21.69844 20.37264 19.33685 18.99923 18.58068
9.54008426187528 0.959015276155875 23.70833 20.92428 19.45429 17.81694 16.829
9.60205183357732 0.582456595042849 19.41215 18.1229 17.42377 17.02205 16.71044
9.9785949605162 0.633973132135946 20.50526 19.76298 19.02663 18.71569 18.29466
9.92809488353549 0.627803319913435 19.96299 18.11505 16.97595 16.50987 16.12702
9.63707753795836 0.601805919859364 20.73203 18.24676 17.02157 16.49905 16.17841
9.69056643962546 0.755271229226288 24.29986 22.66226 20.6659 19.6947 19.21622
9.51477519329501 0.959043212048415 21.74566 21.07469 20.04462 19.41217 19.08636
9.61845176863721 0.776472925297956 20.25342 18.93124 18.29384 17.98344 17.79498
9.6564813016679 1.0937564496238 22.60104 21.99192 20.28584 19.33272 18.8477
9.84602259208566 0.592960713848399 19.51022 19.03565 19.12146 19.18838 19.12672
9.86428684229807 0.720839309701538 23.22432 21.24871 19.70633 18.25559 17.41176
9.8716679740179 0.609864377500405 18.94749 18.94014 18.76177 18.93954 18.98092
10.0315295649857 0.607030506491425 19.4548 17.0782 15.94074 15.50792 15.26429
9.58806459925745 1.1314497831472 20.80091 19.18027 17.83714 17.33448 16.96271
9.71323224034862 0.714462822232334 20.39685 18.42277 17.37318 16.84696 16.43039
9.97439594087331 0.986306344313058 21.88963 19.67065 18.35802 17.73614 17.36986
9.70735084670682 0.773349526573342 20.97201 18.68302 17.81904 17.37067 17.01577
9.75854525459033 0.577393856013417 18.97672 17.3353 16.69562 16.47812 16.35851
10.1004964143571 1.15670540586993 19.78674 18.66197 18.16735 17.83388 17.59916
10.1488025235648 0.587373869954589 22.54716 23.22227 20.77487 19.37808 18.71176
9.55680873345267 0.736377812973969 23.63101 21.23138 19.74105 18.20104 17.36979
9.7467217544322 0.914152309678496 20.21996 19.92683 19.77467 19.43372 19.09739
